id,created_at,text,screen_name,location,followers_count
754824750002610176,Sun Jul 17 23:46:59 +0000 2016,b'RT @DemSpring: As long as our democracy denies that #BlackLivesMatter we stand with those who would fight back. #NN16 https://t.co/3YOj0OrE\\u2026',MyScarletFelony,Central Coast California,2909
754824748782260224,Sun Jul 17 23:46:58 +0000 2016,b'RT @alexpreditor: Two years ago today Eric Garner was killed by police. #Icantbreathe #blacklivesmatter https://t.co/gM2gN6cU63',Easy_Reezy19,"Bronx, NY",716
754824747330990080,Sun Jul 17 23:46:58 +0000 2016,b'RT @Crystal1Johnson: Today marks two years since the death of #EricGarner. We always remember him. #BlackLivesMatter https://t.co/V0DNTWfLRb',KWindyflow,New York,1501
754824747142164480,Sun Jul 17 23:46:58 +0000 2016,b'RT @DeanteVH: We never said #BlackLivesMatter more all we ever said was we matter too. https://t.co/sDoqFBmcJ6',3Thiessen,,55
754824746546569216,Sun Jul 17 23:46:58 +0000 2016,b'RT @CleanMy_Sprite: US BLACK MEN WILL NOT BE STOPPED #blackexcellence #BlackLivesMatter https://t.co/9Vc6g5bwIf',Jordun179,H-town SHSU,187
754824743476428801,Sun Jul 17 23:46:57 +0000 2016,b'RT @PrisonPlanet: #BlackLivesMatter supporters have been celebrating the death of this man. Let that sink in. #BatonRouge https://t.co/n1iE\\u2026',YoungJewWithFro,,155
754824741572128768,Sun Jul 17 23:46:57 +0000 2016,b'RT @PrisonPlanet: #BlackLivesMatter supporters have been celebrating the death of this man. Let that sink in. #BatonRouge https://t.co/n1iE\\u2026',Mcpollodeldia,,302
754824740171157504,Sun Jul 17 23:46:56 +0000 2016,"b'RT @TessFowler: Humans should not have to ask, demand or beg to be allowed to live. The condemning of #blacklivesmatter that is happening i\\u2026'",rndmdeinonychus,"Palatine, IL",158
754824738300530688,Sun Jul 17 23:46:56 +0000 2016,"b""RT @NoBeeetch: So I'm in the middle of shooting my #BlackLivesMatter video to bring awareness to the situation. And 6 cop cars pull up on u\\u2026""",biggiemafia,"Fort Worth, TX",2259
754824731187146752,Sun Jul 17 23:46:54 +0000 2016,b'RT @pari_passu: That conservatives are already blaming #BlackLivesMatter for #BatonRouge defines the problem. Blindly placing blame based o\\u2026',Deshaun_Budda,,344
754824729781948417,Sun Jul 17 23:46:54 +0000 2016,"b""RT @MrJeromeTrammel: SIMPLE:\\n\\nI'm against police murdering!\\n\\nI'm against murdering police!\\n\\n#BatonRouge #BlackLivesMatter""",DaniTheAvenger2, ,550
754824728204894209,Sun Jul 17 23:46:53 +0000 2016,"b""RT @WORLDSTAR: Officer pulls out a gun on a detained suspect that's having a seizure. This isn't right. #BlackLivesMatter https://t.co/ASiE\\u2026""",Rohideouss,,107
754824723125723136,Sun Jul 17 23:46:52 +0000 2016,b'RT @Pamela_Moore13: This is #BlackLivesMatter\\nAnd now we have terror &amp; dead cops! https://t.co/Pt3L261iXE',VSmiley1944,EVANSVILLE,356
754824717765181441,Sun Jul 17 23:46:51 +0000 2016,"b""RT @MrArvinger: 23Ways you could be killed if you're black in America via @mic \\n\\nTHANK YOU CELEBS FOR STEPPING UP\\n\\n#BlackLivesMatter https:\\u2026""",NotGbutJ,"The Bay, CA",738
754824716813205504,Sun Jul 17 23:46:51 +0000 2016,b'RT @OnlyWayIsShawtz: Wish 2pac was still alive\\U0001f62a\\U0001f62a\\U0001f622 #PhilandoCastile #FalconHeightsShooting #BlackLivesMatter #AltonSterling https://t.co/f57\\u2026',kensworld_,somewhere making money ,1763
754824715873587200,Sun Jul 17 23:46:50 +0000 2016,b'RT @BEautifully_C: #BlackLivesMatter and anybody calling for cops to be injured or killed are disgusting and NOT part of our movement. Ever\\u2026',Jaadddee,,751
754824715416444928,Sun Jul 17 23:46:50 +0000 2016,b'RT @BLMSacramento: We took it to the streets after our open mtg.\\nGreat turn out &amp; support\\n#blacklivesmattersacramento\\n#blacklivesmatter htt\\u2026',SURJSacramento,"Sacramento, CA",61
754824715076767744,Sun Jul 17 23:46:50 +0000 2016,b'RT @ItsAdyanada: #blacklivesmatter https://t.co/4d5VXsaaoa',itlitas,"Cosmópolis, Brasil",908
754824714372210692,Sun Jul 17 23:46:50 +0000 2016,"b""Being black and a product of a corrupt system that was founded on slavery, that's not a personal decision #BlackLivesMatter""",RSBuckingham,"Lexington, Ky",512
754824712052551681,Sun Jul 17 23:46:49 +0000 2016,"b'RT @drewwyatt: As Hillary Panders To #BlackLivesMatter,\\n\\n#Trump2016 \\U0001f449 Death Penalty 4  Anyone Who Kills Police.\\U0001f44a\\U0001f3fb\\U0001f44a\\U0001f3fd\\U0001f44a\\U0001f3ff\\n\\n#BatonRouge https://\\u2026'",AzRebel15,"Arizona, USA",979
754824711805296644,Sun Jul 17 23:46:49 +0000 2016,"b""RT @WORLDSTAR: Officer pulls out a gun on a detained suspect that's having a seizure. This isn't right. #BlackLivesMatter https://t.co/ASiE\\u2026""",Fbg_Ricco,,999
754824707770159104,Sun Jul 17 23:46:48 +0000 2016,"b""RT @PrisonPlanet: Wondering how Twitter, Facebook &amp; Google will 'celebrate' latest #BlackLivesmatter-inspired atrocity. More signs, emojis?""",wikkid13,So Cal (sadly),49
754824707405254656,Sun Jul 17 23:46:48 +0000 2016,"b""RT @chidimma_rita: YES ppl are tired and hurting but killing every cop you see DOESN'T HELP MATTERS and seriously defeats the purpose of #b\\u2026""",aubrea_15_brown,"San Bernardino, CA",266
754824705971019776,Sun Jul 17 23:46:48 +0000 2016,"b'RT @PrisonPlanet: #BlackLivesMatter protest leader openly calls for killing cops....but CNN told me it was a ""peaceful"" group. https://t.co\\u2026'",AryanFalcon,(Persain) Gulf Forever,8
754824705308319745,Sun Jul 17 23:46:48 +0000 2016,b'#blacklivesmatter #BatonRouge https://t.co/EB7oiE7Wi8',barrett_1964,"England, United Kingdom",358
754824703169224704,Sun Jul 17 23:46:47 +0000 2016,b'RT @Italians4Trump: Let us NOT forget that Obama invited #BlackLivesMatter to the #WhiteHouse! \\nHe needs to talk about stopping the hateful\\u2026',merrow_a,,149
754824702019764224,Sun Jul 17 23:46:47 +0000 2016,"b'RT @ShaunKing: The #BlackLivesMatter movement is a peaceful movement, started and grown by peaceful people.'",Bgummercomicart,"Fresno, ca",1115
754824701873008640,Sun Jul 17 23:46:47 +0000 2016,"b'RT @Thomas1774Paine: COP BLASTS MSM, Hollywood, Obama in #BatonRouge interview gone awry. MSM gets taste own medicine. #Blacklivesmatter ht\\u2026'",KalV194,US,3228
754824701306822656,Sun Jul 17 23:46:47 +0000 2016,b'#PresidentObama spoke about the #BatonRouge slayings.  #donaldtrump #hillaryclinton #Notonemore  #BlackLivesMatter https://t.co/xYVouuFCKe',scoopster73,"Ontario, Canada ",254
754824698513518592,Sun Jul 17 23:46:46 +0000 2016,b'RT @infidelchick79: Thank a feminist #FeminismIsCancer #BlackLivesMatter https://t.co/g3QWV8vEfM',JustThinking015,"Queens, Prince Edward Island",182
754824697271951361,Sun Jul 17 23:46:46 +0000 2016,"b""Corruption and police harassment in Nigeria: https://t.co/F0i2875sv3, but it's just a race thing though! #BlackLivesMatter #BlackTwitter""",imcrystaljoy,"Atlanta, GA",462
754824696353333248,Sun Jul 17 23:46:46 +0000 2016,b'@BillMoyersHQ @TerranceDC #BlackLivesMatter #JillNotHill  We need a new way forward. @CornelWest leads the way:--\\n\\nhttps://t.co/7uIyoI96Fb',GadflyMorse,,549
754824692293332992,Sun Jul 17 23:46:45 +0000 2016,"b'RT @LindaSuhler: ""Pigs in a blanket, fry \'em like bacon.""\\nRemember this?\\nThis is #BlackLivesMatter.\\nWe now have TERROR &amp; dead COPS. https:/\\u2026'",MavisSchumacher,Minnesota,2267
754824691269902336,Sun Jul 17 23:46:45 +0000 2016,b'RT @KKL_fan: This is What the #WhiteHouse should be doing!! Every night till #BlackLivesMatter gets a clue ! #ComplyDontDie https://t.co/XH\\u2026',jkramer357,Michigan,1690
754824689890037764,Sun Jul 17 23:46:44 +0000 2016,"b""RT @WORLDSTAR: Officer pulls out a gun on a detained suspect that's having a seizure. This isn't right. #BlackLivesMatter https://t.co/ASiE\\u2026""",CrowLife_Zuli,,441
754824689738878976,Sun Jul 17 23:46:44 +0000 2016,b'Can we finally agree that #blacklivesmatter is a terrorist movement?',kenthlove,,52
754824687046135808,Sun Jul 17 23:46:44 +0000 2016,"b""RT @WORLDSTAR: Officer pulls out a gun on a detained suspect that's having a seizure. This isn't right. #BlackLivesMatter https://t.co/ASiE\\u2026""",had_jaaa,cm,968
754824686882750464,Sun Jul 17 23:46:43 +0000 2016,"b""RT @MJJLegion: Protestors singing Michael Jackson's \\u201cThey Don't Care About Us\\u201d in Central London today. #BlackLivesMatter https://t.co/pZOz\\u2026""",infamyreborn92,"Mountain Ash, Rhondda Cynon Taf",1363
754824686144409600,Sun Jul 17 23:46:43 +0000 2016,"b""It's physically impossible for me to type #BlackLivesMatter \\xab---without Twitter artificially adding the solidarity fist.............""",opticaldensity,right in front of you,2219
754824685955670016,Sun Jul 17 23:46:43 +0000 2016,"b""It's deliberate genocide RT @ryan_marsh Can confirm. As a combat vet this is maddening. #BlackLivesMatter https://t.co/q36PuiYAj2""",Its_Reece,"Decatur, GA",2834
754824685414588416,Sun Jul 17 23:46:43 +0000 2016,"b'RT @ACLU: How race-based jury selection blocks justice for Black defendants, including in #deathpenalty. #BlackLivesMatter https://t.co/pZP\\u2026'",GiftedPrude,Lane 6,1106
754824684676509696,Sun Jul 17 23:46:43 +0000 2016,"b""RT @WORLDSTAR: Officer pulls out a gun on a detained suspect that's having a seizure. This isn't right. #BlackLivesMatter https://t.co/ASiE\\u2026""",shelovesjuan,"Dayton, OH",3468
754824684005240832,Sun Jul 17 23:46:43 +0000 2016,b'RT @CleanMy_Sprite: US BLACK MEN WILL NOT BE STOPPED #blackexcellence #BlackLivesMatter https://t.co/9Vc6g5bwIf',saenz_devin,The Court,332
754824682872987648,Sun Jul 17 23:46:43 +0000 2016,b'RT @taqwamuhsina: #BlackLivesMatter',LorienWillRise,Islamic Foundation Fam,327
754824680779964416,Sun Jul 17 23:46:42 +0000 2016,"b'RT @WORLDSTAR: 2 years ago today he screamed, ""I can\'t breathe!""\\n\\nR.I.P. Eric Garner #BlackLivesMatter https://t.co/Ftj6bdJoi2'",iBeTiara,"Atlanta, GA",1781
754824680008101888,Sun Jul 17 23:46:42 +0000 2016,b'RT @NormaniKordei: #BlackLivesMatter #BlackLivesMatter \\n#AltonSterling #PhilandoCastile \\U0001f64c\\U0001f3fe https://t.co/9Tu6eGdjOK',BieberConaci,Canadá,1335
754824678825336832,Sun Jul 17 23:46:42 +0000 2016,"b'Sick and tired of violence, hate, and injustice. We need more communication and willingness to work together. #BatonRouge #BlackLivesMatter'",R_Simmons10,"Cordele, GA",531
754824678368313348,Sun Jul 17 23:46:41 +0000 2016,b'RT @CleanMy_Sprite: US BLACK MEN WILL NOT BE STOPPED #blackexcellence #BlackLivesMatter https://t.co/9Vc6g5bwIf',23Cydni,,90
754824675671224320,Sun Jul 17 23:46:41 +0000 2016,b'RT @PrisonPlanet: Everything I said about #BlackLivesMatter after Dallas applies in Baton Rouge. BLM is a domestic terror organization http\\u2026',wikkid13,So Cal (sadly),49
754824674828251136,Sun Jul 17 23:46:41 +0000 2016,b'RT @PrisonPlanet: #BlackLivesMatter supporters have been celebrating the death of this man. Let that sink in. #BatonRouge https://t.co/n1iE\\u2026',Simonlevrai007,"beauce, Quebec , CANADA",1415
